#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
9620 0.000175232588877917 1.73077944251084e-05 3.25375219729046e-06 0.000118811323824633 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9630 0.000175233539524443 1.73077944251084e-05 3.25375219729046e-06 0.000118811498546437 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9640 0.000175234514576101 1.73077944251084e-05 3.25375219729046e-06 0.000118811678015946 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9650 0.000175235525711368 1.73077944251084e-05 3.25375219729046e-06 0.000118811864487836 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9660 0.000175236490462142 1.73077944251084e-05 3.25375219729046e-06 0.000118812041988712 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9670 0.000175237414487143 1.73077944251084e-05 3.25375219729046e-06 0.000118812211621395 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9680 0.000175238393297925 1.73077944251084e-05 3.25375219729046e-06 0.000118812391883336 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9690 0.000175239387497215 1.73077944251084e-05 3.25375219729046e-06 0.000118812575141301 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9700 0.000175240420406943 1.73077944251084e-05 3.25375219729046e-06 0.000118812765911052 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9710 0.000175241384701864 1.73077944251084e-05 3.25375219729046e-06 0.000118812943408542 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9720 0.000175242341688458 1.73077944251084e-05 3.25375219729046e-06 0.000118813119506883 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9730 0.000175243401698683 1.73077944251084e-05 3.25375219729046e-06 0.000118813315574736 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9740 0.000175244385270924 1.73077944251084e-05 3.25375219729046e-06 0.000118813496853226 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9750 0.000175245422685002 1.73077944251084e-05 3.25375219729046e-06 0.000118813688578372 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9760 0.000175246440335241 1.73077944251084e-05 3.25375219729046e-06 0.00011881387648708 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9770 0.000175247428534755 1.73077944251084e-05 3.25375219729046e-06 0.00011881405870983 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9780 0.000175248404118725 1.73077944251084e-05 3.25375219729046e-06 0.000118814238506928 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9790 0.00017524932463896 1.73077944251084e-05 3.25375219729046e-06 0.000118814407656899 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9800 0.000175250254580529 1.73077944251084e-05 3.25375219729046e-06 0.000118814578645513 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9810 0.000175251162396005 1.73077944251084e-05 3.25375219729046e-06 0.000118814745364755 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9820 0.00017525218163602 1.73077944251084e-05 3.25375219729046e-06 0.000118814933683386 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
